robot,payload,stage,t,v
amr1,unloaded,nav,34.561,0.0000
amr1,unloaded,nav,34.580,0.0000
amr1,unloaded,nav,34.601,0.0000
amr1,unloaded,nav,34.620,0.0000
amr1,unloaded,nav,34.640,0.0000
amr1,unloaded,nav,34.662,0.0000
amr1,unloaded,nav,34.680,0.0000
amr1,unloaded,nav,34.701,0.0000
amr1,unloaded,nav,34.720,0.0000
amr1,unloaded,nav,34.741,0.0000
amr1,unloaded,nav,34.761,0.0000
amr1,unloaded,nav,34.781,0.0000
amr1,unloaded,nav,34.800,0.0000
amr1,unloaded,nav,34.821,0.0000
amr1,unloaded,nav,34.841,0.0000
amr1,unloaded,nav,34.861,0.0000
amr1,unloaded,nav,34.881,0.0000
amr1,unloaded,nav,34.901,0.0000
amr1,unloaded,nav,34.920,0.0000
amr1,unloaded,nav,34.941,0.0000
amr1,unloaded,nav,34.960,0.0000
amr1,unloaded,nav,34.985,0.0000
amr1,unloaded,nav,35.000,0.0000
amr1,unloaded,nav,35.020,0.0000
amr1,unloaded,nav,35.040,0.0000
amr1,unloaded,nav,35.060,0.0000
amr1,unloaded,nav,35.081,0.0000
amr1,unloaded,nav,35.104,0.0000
amr1,unloaded,nav,35.129,0.0000
amr1,unloaded,nav,35.142,0.0000
amr1,unloaded,nav,35.160,0.0000
amr1,unloaded,nav,35.181,0.0000
amr1,unloaded,nav,35.200,0.0000
amr1,unloaded,nav,35.221,0.0000
amr1,unloaded,nav,35.242,0.0000
amr1,unloaded,nav,35.261,0.0000
amr1,unloaded,nav,35.283,0.0000
amr1,unloaded,nav,35.300,0.0000
amr1,unloaded,nav,35.322,0.0000
amr1,unloaded,nav,35.340,0.0000
amr1,unloaded,nav,35.360,0.0000
amr1,unloaded,nav,35.380,0.0000
amr1,unloaded,nav,35.400,0.0000
amr1,unloaded,nav,35.420,0.0000
amr1,unloaded,nav,35.441,0.0000
amr1,unloaded,nav,35.463,0.0000
amr1,unloaded,nav,35.480,0.0000
amr1,unloaded,nav,35.501,0.0000
amr1,unloaded,nav,35.520,0.0000
amr1,unloaded,nav,35.547,0.0000
amr1,unloaded,nav,35.564,0.0000
amr1,unloaded,nav,35.581,0.0000
amr1,unloaded,nav,35.601,0.0000
amr1,unloaded,nav,35.629,0.0000
amr1,unloaded,nav,35.641,0.0000
amr1,unloaded,nav,35.662,0.0000
amr1,unloaded,nav,35.680,0.0000
amr1,unloaded,nav,35.701,0.0000
amr1,unloaded,nav,35.721,0.0000
amr1,unloaded,nav,35.741,0.0000
amr1,unloaded,nav,35.761,0.0000
amr1,unloaded,nav,35.780,0.0000
amr1,unloaded,nav,35.802,0.0000
amr1,unloaded,nav,35.820,0.0000
amr1,unloaded,nav,35.840,0.0000
amr1,unloaded,nav,35.861,0.0000
amr1,unloaded,nav,35.880,0.0000
amr1,unloaded,nav,35.902,0.0000
amr1,unloaded,nav,35.921,0.0000
amr1,unloaded,nav,35.940,0.0000
amr1,unloaded,nav,35.962,0.0000
amr1,unloaded,nav,35.981,0.0000
amr1,unloaded,nav,36.001,0.0000
amr1,unloaded,nav,36.020,0.0000
amr1,unloaded,nav,36.040,0.0000
amr1,unloaded,nav,36.061,0.0000
amr1,unloaded,nav,36.080,0.0000
amr1,unloaded,nav,36.100,0.0000
amr1,unloaded,nav,36.121,0.0000
amr1,unloaded,nav,36.140,0.0000
amr1,unloaded,nav,36.161,0.0000
amr1,unloaded,nav,36.180,0.0000
amr1,unloaded,nav,36.202,0.0000
amr1,unloaded,nav,36.220,0.0000
amr1,unloaded,nav,36.240,0.0000
amr1,unloaded,nav,36.261,0.0000
amr1,unloaded,nav,36.281,0.0000
amr1,unloaded,nav,36.300,0.0000
amr1,unloaded,nav,36.321,0.0000
amr1,unloaded,nav,36.341,0.0000
amr1,unloaded,nav,36.361,0.0000
amr1,unloaded,nav,36.381,0.0000
amr1,unloaded,nav,36.400,0.0000
amr1,unloaded,nav,36.421,0.0000
amr1,unloaded,nav,36.441,0.0000
amr1,unloaded,nav,36.461,0.0000
amr1,unloaded,nav,36.481,0.0000
amr1,unloaded,nav,36.502,0.0000
amr1,unloaded,nav,36.521,0.0000
amr1,unloaded,nav,36.540,0.0000
amr1,unloaded,nav,36.562,0.0000
amr1,unloaded,nav,36.580,0.0000
amr1,unloaded,nav,36.601,0.0000
amr1,unloaded,nav,36.620,0.0000
amr1,unloaded,nav,36.641,0.0000
amr1,unloaded,nav,36.663,0.0000
amr1,unloaded,nav,36.681,0.0000
amr1,unloaded,nav,36.700,0.0000
amr1,unloaded,nav,36.721,0.0000
amr1,unloaded,nav,36.741,0.0000
amr1,unloaded,nav,36.761,0.0000
amr1,unloaded,nav,36.781,0.0000
amr1,unloaded,nav,36.801,0.0000
amr1,unloaded,nav,36.822,0.0000
amr1,unloaded,nav,36.841,0.0000
amr1,unloaded,nav,36.860,0.0000
amr1,unloaded,nav,36.883,0.0000
amr1,unloaded,nav,36.901,0.0000
amr1,unloaded,nav,36.920,0.0000
amr1,unloaded,nav,36.940,0.0000
amr1,unloaded,nav,36.961,0.0000
amr1,unloaded,nav,36.980,0.0000
amr1,unloaded,nav,37.000,0.0000
amr1,unloaded,nav,37.020,0.0000
amr1,unloaded,nav,37.042,0.0000
amr1,unloaded,nav,37.060,0.0000
amr1,unloaded,nav,37.080,0.0000
